wid,source_type,lang_key,lang_country,lang_value,is_deleted
7d178951b2d94feea788819c1c3b39a8,0,821059672126521344,zh_CN,首页,0
3d1b786b7f0e4946bccd3daa939d81fa,0,821060142744207360,zh_CN,办事,0
1685d63fd6ad4fcbbd6c9863de266d22,0,821060772678336512,zh_CN,事项分类,0
81154914c4404521a5548de41fb49da3,0,821061555834585088,zh_CN,事项详情,0
6eb3f69159844ad8973bfe8b530e5c6e,0,821061904729374720,zh_CN,搜索结果,0
f31acbdfea56473384ecda57c3aea2d7,0,821062149127274496,zh_CN,全部服务,0
f9c6489cdcb94a5491959ccf17a80240,0,821068016480419840,zh_CN,我的,0
2cfe7b4649f14fb2aa79fd9ce80ee793,0,821071535476310016,zh_CN,首页,0
5f70b9f29f6f473b9e175e379f6fe3de,0,821071583752749056,zh_CN,办事,0
e61c88784c9d4b898ca06ea8996a9aaf,0,821071648554745856,zh_CN,我的,0