wid,version_number,version_type,version_name,version_status,foreign_key,is_deleted
"1","1.0.0",0,"Official模板",1,"SYS_TEMPLATE_OFFICIAL",0
"2","1.0.0",1,"全部事项",1,"SYS_CARD_ALLSERVICEITEM",0
"3","1.0.0",1,"轮播图",1,"SYS_CARD_CAROUSEL",0
"4","1.0.0",1,"课表",1,"SYS_CARD_CLASSTIMETABLE",0
"5","1.0.0",1,"已办任务",1,"SYS_CARD_DONETASK",0
"6","1.0.0",1,"我收藏的服务",1,"SYS_CARD_FAVORITEAPP",0
"7","1.0.0",1,"热门服务",1,"SYS_CARD_HOTAPP",0
"8","1.0.0",1,"热门事项",1,"SYS_CARD_HOTSERVICEITEMS",0
"9","1.0.0",1,"最新服务",1,"SYS_CARD_LASTESTAPP",0
"10","1.0.0",1,"最新事项",1,"SYS_CARD_LATESTSERVICEITEMS",0
"11","1.0.0",1,"链接导航",1,"SYS_CARD_LINK",0
"12","1.0.0",1,"消息中心",1,"SYS_CARD_MESSAGECENTER",0
"13","1.0.0",1,"我收藏的事项",1,"SYS_CARD_MYFAVORITESSERVICEITEM",0
"14","1.0.0",1,"我发起的",1,"SYS_CARD_MYTASK",0
"15","1.0.0",1,"新闻通知公告",1,"SYS_CARD_NEWSANNOUNCEMENT",0
"18","1.0.0",1,"推荐服务",1,"SYS_CARD_RECOMMENDAPP",0
"19","1.0.0",1,"推荐事项",1,"SYS_CARD_RECOMMENDSERVICEITEMS",0
"21","1.0.0",1,"业务直通车",1,"SYS_CARD_SERVICEBUS",0
"22","1.0.0",1,"待办任务",1,"SYS_CARD_TODOTASK",0
"24","1.0.0",1,"全部服务",1,"SYS_CARD_ALLSERVICE",0
"25","1.0.0",1,"事项分类",1,"SYS_CARD_SERVICEITEMCATEGORY",0
"26","1.0.0",1,"事项统计",1,"SYS_CARD_SERVICEITEMCOUNT",0
"27","1.0.0",1,"事项详情",1,"SYS_CARD_DETAILSOFSERVICEITEMS",0
"28","1.0.0",1,"搜索结果",1,"SYS_CARD_SEARCHRESULTS",0
"29","1.0.0",1,"事项分类详情",1,"SYS_CARD_SERVICEITEMCATEGORYDETAIL",0